id,fold,sample,veh_value,exposure,veh_body,veh_age,gender,area,agecat,engine_type,max_power,driving_history_score,veh_color,marital_status,e_bill,time_of_week_driven,time_driven,trm_len,credit_score,low_education_ind,clm,numclaims,claimcst0,expected_loss
1,2,1|bld,5.800000000000001,0.362190934,suv,2,f,b,1,hybrid,161,73.0,black,m,0,weekday,12pm - 6pm,6,646.516468959908,0.0,1,1,2023.198184,5585.9989692618865
1305,2,1|bld,4.44,0.956688551,truck,3,f,c,1,dissel,333,96.0,white,m,1,weekday,6pm - 12am,12,663.6047466357404,1.0,0,0,0.0,0.0
1306,1,1|bld,1.9300000000000008,0.099420091,stnwg,1,f,c,4,petrol,134,106.0,gray,s,1,weekday,6am - 12pm,12,646.2654260926189,0.0,0,0,0.0,0.0
1307,1,1|bld,6.430000000000001,0.386808758,stnwg,4,m,c,5,dissel,112,124.0,brown,m,0,weekend,6am - 12pm,12,642.2727213996202,0.0,0,0,0.0,0.0
1308,3,1|bld,1.6400000000000006,0.808446006,stnwg,1,f,e,2,electric,184,73.0,gray,m,1,weekend,6am - 12pm,12,652.1260165075998,0.0,0,0,0.0,0.0
1309,4,2|val,1.0697000000000008,0.634102569,stnwg,1,f,d,5,dissel,159,87.0,brown,m,1,weekday,12pm - 6pm,12,640.0250804486458,0.0,0,0,0.0,0.0
1310,2,1|bld,6.12,0.49840888,sedan,3,m,f,4,electric,113,124.0,black,m,1,weekday,12am - 6 am,6,642.6227562295159,1.0,0,0,0.0,0.0
1311,4,2|val,2.78,0.439340661,stnwg,2,m,e,4,dissel,182,106.0,red,s,1,weekday,6am - 12pm,6,652.1671390841058,1.0,0,0,0.0,0.0
1312,2,1|bld,4.34,0.109958983,stnwg,1,f,b,4,petrol,203,119.0,green,m,1,weekend,12pm - 6pm,12,646.5211874541928,0.0,0,0,0.0,0.0
1313,3,1|bld,2.8500000000000005,0.344825698,truck,1,f,e,1,petrol,333,90.0,black,s,0,weekday,6pm - 12am,12,645.2238461566391,0.0,0,0,0.0,0.0
1314,2,1|bld,6.51,0.165927723,sedan,2,f,c,2,hybrid,101,114.0,gray,s,1,weekend,6am - 12pm,12,642.8377683689604,0.0,0,0,0.0,0.0
1315,3,1|bld,5.630000000000001,0.843901693,suv,1,m,d,2,petrol,142,120.0,black,s,1,weekday,12pm - 6pm,12,662.5020092871423,0.0,0,0,0.0,0.0
1316,3,1|bld,6.17,0.872858643,suv,4,m,d,5,petrol,104,133.01000000000022,blue,s,1,weekday,12am - 6 am,12,647.004226941722,1.0,0,0,0.0,0.0
1317,1,1|bld,5.71,0.228659489,suv,2,m,c,5,petrol,110,106.0,white,s,1,weekday,6am - 12pm,6,673.8010552153648,0.0,0,0,0.0,0.0
1318,1,1|bld,6.34,0.856065544,sedan,3,m,a,4,petrol,129,133.01000000000022,white,m,1,weekday,6am - 12pm,12,641.5436934450962,0.0,0,0,0.0,0.0
1319,4,2|val,6.220000000000001,0.026696275255,suv,2,f,c,4,petrol,116,116.0,brown,s,1,weekend,6am - 12pm,12,680.2461905491704,0.0,0,0,0.0,0.0
1320,1,1|bld,1.7300000000000004,0.576436949,stnwg,1,m,a,3,petrol,180,55.0,gray,m,0,weekend,12pm - 6pm,12,653.3713232604732,0.0,0,0,0.0,0.0
1321,1,1|bld,1.9000000000000004,0.191993632,stnwg,1,f,b,2,petrol,205,68.0,black,s,1,weekday,12pm - 6pm,6,656.8489749930886,0.0,0,0,0.0,0.0
1322,1,1|bld,3.72,0.396415927,ute,1,m,d,4,dissel,234,125.0,blue,m,1,weekday,6pm - 12am,12,647.3081241178324,0.0,0,0,0.0,0.0
1323,4,2|val,1.0697000000000008,0.345003432,convt,1,m,a,2,hybrid,200,77.0,silver,s,1,weekday,6pm - 12am,12,646.148098117339,0.0,0,0,0.0,0.0
1324,3,1|bld,5.0,0.900558873,suv,1,m,b,2,petrol,100,111.0,gray,s,0,weekday,6am - 12pm,12,652.1045315213677,1.0,0,0,0.0,0.0
1325,3,1|bld,3.16,0.656957743,truck,1,f,f,6,dissel,331,78.0,gray,m,1,weekday,12pm - 6pm,12,671.4827098118737,0.0,0,0,0.0,0.0
1326,3,1|bld,3.0600000000000005,0.59349356,stnwg,2,f,d,5,dissel,167,133.01000000000022,white,s,1,weekday,6am - 12pm,12,639.1756176369835,0.0,0,0,0.0,0.0
1327,4,2|val,1.54,0.736345269,stnwg,1,f,a,5,hybrid,105,75.0,silver,s,1,weekday,6am - 12pm,12,668.1306459609441,0.0,0,0,0.0,0.0
1328,4,2|val,1.46,0.409139773,stnwg,1,f,e,5,petrol,209,89.0,black,m,0,weekday,12pm - 6pm,12,648.3871081003844,0.0,0,0,0.0,0.0
1329,4,2|val,4.040000000000001,0.2543373155,truck,2,f,d,2,dissel,220,95.0,yellow,m,1,weekday,6am - 12pm,6,654.407233264023,0.0,0,0,0.0,0.0
1330,4,2|val,6.390000000000001,0.192210867,ute,4,f,a,3,petrol,167,118.0,black,s,0,weekend,12pm - 6pm,12,643.6422466077445,0.0,0,0,0.0,0.0
1331,2,1|bld,3.65,0.091897805,ute,1,f,d,1,dissel,167,111.0,red,s,0,weekday,12pm - 6pm,6,641.7145117340228,0.0,0,0,0.0,0.0
1332,2,1|bld,6.180000000000001,0.991197312,suv,3,m,a,3,petrol,104,118.0,green,s,1,weekday,12pm - 6pm,12,677.3060245631157,1.0,0,0,0.0,0.0
1333,4,2|val,6.53,0.337085016,stnwg,4,f,c,3,dissel,107,120.0,gray,s,1,weekday,6am - 12pm,12,644.3795391715191,0.0,0,0,0.0,0.0
1334,3,1|bld,1.4800000000000004,0.894502644,stnwg,2,f,b,3,hybrid,142,86.0,white,s,1,weekday,6am - 12pm,12,658.3733227826597,1.0,0,0,0.0,0.0
1335,2,1|bld,3.89,0.160255472,ute,1,m,f,1,petrol,244,104.0,green,s,0,weekday,6am - 12pm,6,652.9395176266555,0.0,0,0,0.0,0.0
1336,2,1|bld,5.03,0.148546494,hdtop,2,f,c,2,petrol,287,103.0,brown,m,1,weekday,12pm - 6pm,12,638.4624681678397,0.0,0,0,0.0,0.0
1337,4,2|val,5.11,0.741629742,suv,2,f,b,3,petrol,146,129.0,silver,s,0,weekday,12pm - 6pm,12,677.6315240111837,0.0,0,0,0.0,0.0
1338,4,2|val,4.99,0.1687009365,stnwg,3,m,c,3,dissel,115,129.0,white,m,0,weekend,12pm - 6pm,6,645.5044706816166,0.0,0,0,0.0,0.0
1339,3,1|bld,6.8500000000000005,0.292275034,suv,4,m,e,4,petrol,105,125.0,gray,s,1,weekday,12pm - 6pm,6,639.1220454759372,0.0,0,0,0.0,0.0
1340,1,1|bld,2.83,0.3421712515,ute,1,f,c,2,petrol,232,93.0,gray,s,1,weekday,12pm - 6pm,6,653.2683036785088,0.0,0,0,0.0,0.0
1341,3,1|bld,2.5700000000000003,0.170643729,truck,1,f,a,5,dissel,333,78.0,black,s,0,weekend,6pm - 12am,6,670.6515296022452,0.0,0,0,0.0,0.0
1342,1,1|bld,5.82,0.140494932,suv,2,m,c,3,electric,149,133.01000000000022,gray,m,0,weekday,6am - 12pm,6,648.3623160491134,0.0,0,0,0.0,0.0
1343,2,1|bld,6.7,0.412125578,sedan,4,m,c,4,petrol,99,132.0,gray,m,1,weekday,12pm - 6pm,6,640.6165850248516,0.0,0,0,0.0,0.0
1344,4,2|val,5.23,0.634768717,suv,2,f,c,5,petrol,123,124.0,black,m,0,weekday,12pm - 6pm,12,644.2605415611395,0.0,0,0,0.0,0.0
1345,2,1|bld,4.15,0.529719313,ute,1,f,a,4,dissel,215,104.0,white,m,1,weekday,6am - 12pm,12,640.4845050286795,0.0,0,0,0.0,0.0
1346,3,1|bld,5.83,0.882450921,mcara,3,f,c,1,dissel,114,127.0,black,s,1,weekend,12pm - 6pm,12,633.9840188883015,0.0,0,0,0.0,0.0
1347,3,1|bld,2.49,0.849066175,stnwg,1,f,f,2,dissel,161,94.0,blue,m,1,weekend,6am - 12pm,12,638.487278331172,0.0,0,0,0.0,0.0
1348,2,1|bld,1.0697000000000008,0.171236616,stnwg,1,f,a,4,hybrid,148,76.0,green,m,1,weekend,12pm - 6pm,12,649.3524762888298,0.0,0,0,0.0,0.0
1349,1,1|bld,6.25,0.896548635,suv,3,f,c,6,petrol,172,92.0,blue,m,1,weekday,6am - 12pm,12,667.7417790258671,1.0,0,0,0.0,0.0
1350,3,1|bld,4.34,0.749513085,ute,2,f,e,2,petrol,204,107.0,gray,m,1,weekend,6am - 12pm,12,651.6108909410285,0.0,0,0,0.0,0.0
1351,2,1|bld,5.640000000000001,0.77346251,suv,2,f,c,5,petrol,151,113.0,black,s,0,weekday,6am - 12pm,12,651.7306822681743,0.0,0,0,0.0,0.0
1352,1,1|bld,4.25,0.026696275255,ute,1,f,b,1,dissel,230,108.0,black,s,1,weekday,12pm - 6pm,12,641.5829425807589,0.0,0,0,0.0,0.0
1353,4,2|val,3.98,0.948733906,ute,2,f,a,5,dissel,215,105.0,white,m,1,weekday,12pm - 6pm,12,651.2970580600163,1.0,0,0,0.0,0.0
1354,3,1|bld,6.33,0.611648178,ute,4,m,a,2,petrol,276,130.0,white,s,0,weekday,6pm - 12am,12,645.5500162467839,0.0,0,0,0.0,0.0
1355,1,1|bld,5.210000000000001,0.661176757,hdtop,2,f,a,3,petrol,211,127.0,gray,m,0,weekday,6am - 12pm,12,639.7018210957062,0.0,0,0,0.0,0.0
1356,3,1|bld,2.7,0.336841692,stnwg,1,m,d,4,petrol,150,127.0,silver,m,0,weekday,6am - 12pm,12,633.9840188883015,0.0,0,0,0.0,0.0
1357,3,1|bld,5.34,0.585837269,suv,1,m,c,5,petrol,108,122.0,white,m,1,weekend,12pm - 6pm,12,649.0144637017366,0.0,0,0,0.0,0.0
1358,2,1|bld,6.0,0.255324404,suv,2,f,b,4,petrol,150,115.0,white,s,1,weekday,6am - 12pm,6,654.7412348920851,0.0,0,0,0.0,0.0
1359,1,1|bld,1.0697000000000008,0.802266058,stnwg,1,f,e,2,petrol,148,93.0,black,s,1,weekday,6am - 12pm,12,643.0766031863036,0.0,0,0,0.0,0.0
1360,1,1|bld,1.8000000000000007,0.952013695,stnwg,1,f,d,3,dissel,116,59.0,red,m,0,weekday,6am - 12pm,12,641.9081386986104,1.0,0,0,0.0,0.0
1361,1,1|bld,4.19,0.888020667,stnwg,1,f,b,1,petrol,182,125.0,white,s,1,weekday,6am - 12pm,12,637.4136836162606,0.0,0,0,0.0,0.0
1362,3,1|bld,3.6,0.104860518,stnwg,3,f,a,4,petrol,118,119.0,silver,m,0,weekday,12pm - 6pm,12,645.0387968349825,0.0,0,0,0.0,0.0
1363,3,1|bld,6.430000000000001,0.887255715,sedan,2,m,c,3,electric,100,100.0,black,s,1,weekday,6pm - 12am,12,648.0170161077178,0.0,0,0,0.0,0.0
1364,3,1|bld,5.49,0.187893969,suv,2,f,d,4,petrol,116,115.0,green,s,1,weekday,12pm - 6pm,6,658.076492728545,0.0,0,0,0.0,0.0
1365,3,1|bld,5.28,0.360639199,ute,1,f,a,3,electric,245,114.0,gray,m,1,weekday,6am - 12pm,12,644.8933923749852,0.0,0,0,0.0,0.0
1366,2,1|bld,7.12,0.275213252,sedan,4,m,c,5,hybrid,75,120.0,black,m,1,weekend,6am - 12pm,6,653.5801658646111,0.0,0,0,0.0,0.0
1367,1,1|bld,6.33,0.150914018,sedan,2,m,a,1,hybrid,110,127.0,white,m,1,weekend,6am - 12pm,6,638.3678950619314,0.0,0,0,0.0,0.0
1368,1,1|bld,6.37,0.716281602,suv,3,m,c,4,petrol,140,126.0,white,m,0,weekday,6am - 12pm,12,640.3980685770587,0.0,0,0,0.0,0.0
1369,1,1|bld,5.41,0.99933142633,suv,1,m,d,5,petrol,108,133.01000000000022,gray,m,1,weekend,6am - 12pm,12,643.2826780952382,1.0,0,0,0.0,0.0
1370,1,1|bld,5.680000000000001,0.08237992,suv,2,f,c,2,petrol,165,132.0,white,s,1,weekday,6am - 12pm,12,653.9435085852243,0.0,0,0,0.0,0.0
1371,3,1|bld,4.790000000000001,0.3322945535,panvn,1,f,a,3,petrol,77,94.0,black,s,1,weekday,12pm - 6pm,6,648.9377776827945,0.0,0,0,0.0,0.0
1372,2,1|bld,5.3100000000000005,0.645438462,suv,2,f,a,5,petrol,106,127.0,white,s,1,weekday,12pm - 6pm,12,648.6956577327478,0.0,0,0,0.0,0.0
1373,3,1|bld,1.99,0.99933142633,stnwg,1,f,b,3,petrol,109,69.0,gray,m,0,weekday,12am - 6 am,12,634.7755130756838,1.0,0,0,0.0,0.0
1374,1,1|bld,2.62,0.4353678645,stnwg,1,m,b,1,petrol,182,109.0,red,s,1,weekday,6am - 12pm,6,658.3740210006765,1.0,0,0,0.0,0.0
1375,3,1|bld,7.11,0.267695318,sedan,4,f,a,4,hybrid,75,107.0,brown,s,1,weekday,6am - 12pm,12,654.6486424984604,0.0,0,0,0.0,0.0
1376,3,1|bld,1.4800000000000004,0.376515437,stnwg,1,m,a,3,dissel,207,79.0,white,s,1,weekday,6am - 12pm,12,663.332700502164,0.0,0,0,0.0,0.0
1377,4,2|val,5.84,0.070641848,suv,3,m,a,2,petrol,111,125.0,white,s,1,weekday,12pm - 6pm,12,646.9000160827316,0.0,0,0,0.0,0.0
1378,2,1|bld,5.680000000000001,0.2176995235,suv,3,m,a,2,petrol,130,119.0,gray,m,1,weekday,6am - 12pm,6,641.1981835930281,0.0,0,0,0.0,0.0
1379,2,1|bld,5.930000000000001,0.375288695,sedan,2,m,b,4,electric,103,122.0,gray,s,0,weekday,6am - 12pm,12,644.7268746183291,0.0,0,0,0.0,0.0
1380,2,1|bld,6.800000000000001,0.1525129325,sedan,3,f,b,3,hybrid,74,116.0,black,s,1,weekday,12pm - 6pm,6,647.3678268700343,0.0,0,0,0.0,0.0
1381,2,1|bld,1.87,0.05319338,stnwg,1,f,c,3,petrol,170,77.0,gray,s,1,weekday,6am - 12pm,6,653.9735861362519,0.0,0,0,0.0,0.0
1382,2,1|bld,5.01,0.1144980995,stnwg,3,m,c,4,dissel,156,128.0,white,s,1,weekend,12pm - 6pm,6,641.5869994803469,0.0,0,0,0.0,0.0
1383,4,2|val,6.73,0.436163617,sedan,4,f,c,1,petrol,127,117.0,black,m,0,weekday,12pm - 6pm,12,635.870212154065,0.0,0,0,0.0,0.0
1384,3,1|bld,6.49,0.265158284,ute,4,f,d,3,dissel,269,98.0,green,s,1,weekend,6am - 12pm,12,651.5302073849413,0.0,0,0,0.0,0.0
1385,1,1|bld,1.9000000000000004,0.426818913,stnwg,1,m,f,2,dissel,192,75.0,gray,s,0,weekday,6am - 12pm,12,648.0692905480208,0.0,0,0,0.0,0.0
1386,1,1|bld,6.380000000000001,0.267369701,sedan,2,f,b,3,petrol,86,119.0,white,s,0,weekday,6am - 12pm,12,643.9213601786275,0.0,0,0,0.0,0.0
1387,3,1|bld,6.800000000000001,0.662322828,sedan,4,m,c,5,hybrid,95,111.0,gray,m,1,weekday,12pm - 6pm,12,652.3792150211171,0.0,0,0,0.0,0.0
1388,2,1|bld,5.8500000000000005,0.609493593,suv,3,f,a,5,petrol,145,123.0,blue,m,1,weekday,6am - 12pm,12,648.2712204819686,0.0,0,0,0.0,0.0
1389,1,1|bld,3.68,0.394998117,stnwg,2,m,f,4,hybrid,203,122.0,green,s,1,weekend,6am - 12pm,12,645.2157073545764,0.0,0,0,0.0,0.0
1390,4,2|val,6.5,0.566691763,suv,3,m,c,4,hybrid,164,115.0,black,s,0,weekday,6am - 12pm,12,649.1413020700797,0.0,0,0,0.0,0.0
1391,3,1|bld,1.7300000000000004,0.1378425745,stnwg,1,m,e,3,dissel,138,123.0,gray,m,1,weekday,12pm - 6pm,6,655.6382911208999,0.0,0,0,0.0,0.0
1392,3,1|bld,3.2700000000000005,0.079792075,stnwg,2,m,e,3,petrol,118,130.0,silver,m,1,weekday,12pm - 6pm,12,643.0084679222203,0.0,0,0,0.0,0.0
1393,1,1|bld,4.48,0.598663451,ute,2,f,a,4,petrol,208,113.0,black,m,1,weekday,12pm - 6pm,12,651.1214389918365,0.0,0,0,0.0,0.0
1394,4,2|val,1.6500000000000004,0.294805106,stnwg,1,f,b,2,petrol,166,75.0,blue,s,1,weekday,6pm - 12am,6,660.5737285184287,0.0,0,0,0.0,0.0
1395,4,2|val,2.890000000000001,0.945490494,ute,1,f,b,1,electric,253,100.0,black,m,1,weekday,6pm - 12am,12,647.8427676912848,1.0,0,0,0.0,0.0
1396,1,1|bld,4.42,0.135234292,ute,2,f,b,5,petrol,218,106.0,white,m,1,weekend,6am - 12pm,6,650.6485410856515,0.0,0,0,0.0,0.0
1397,1,1|bld,2.04,0.2349223525,stnwg,1,f,a,4,petrol,185,85.0,silver,s,1,weekday,12pm - 6pm,6,650.9350055268056,0.0,0,0,0.0,0.0
1398,2,1|bld,6.130000000000001,0.886349922,sedan,1,f,b,5,petrol,118,129.0,red,m,1,weekday,6am - 12pm,12,644.203972254909,0.0,0,0,0.0,0.0
1399,3,1|bld,5.930000000000001,0.834555417,sedan,1,m,d,4,petrol,123,118.0,green,s,1,weekend,12am - 6 am,12,638.9586762356676,0.0,0,0,0.0,0.0
1400,2,1|bld,2.5600000000000005,0.374923832,stnwg,2,m,d,4,dissel,201,57.0,gray,s,1,weekday,12am - 6 am,12,641.8368129841315,0.0,0,0,0.0,0.0
1401,4,2|val,4.83,0.723477991,suv,1,f,c,2,hybrid,115,109.0,black,s,1,weekday,6am - 12pm,12,641.0025087705875,0.0,0,0,0.0,0.0
1402,2,1|bld,5.130000000000001,0.410364118,suv,1,f,d,6,petrol,108,133.01000000000022,white,s,1,weekday,6am - 12pm,6,642.4823412544374,0.0,0,0,0.0,0.0
1403,4,2|val,6.5600000000000005,0.575559741,sedan,3,f,c,4,petrol,111,131.0,gray,s,0,weekday,12am - 6 am,12,641.2428107621016,0.0,0,0,0.0,0.0
1404,1,1|bld,3.2,0.205118782,truck,2,m,d,3,dissel,333,87.0,white,m,1,weekday,12pm - 6pm,12,662.7455950765302,0.0,0,0,0.0,0.0
1405,3,1|bld,5.92,0.424389233,sedan,2,m,a,2,petrol,108,133.01000000000022,blue,s,1,weekday,12pm - 6pm,6,633.9840188883015,0.0,0,0,0.0,0.0
1406,4,2|val,6.25,0.500389781,suv,4,m,a,4,petrol,103,112.0,red,s,0,weekday,12pm - 6pm,12,658.3342351434553,0.0,0,0,0.0,0.0
1407,1,1|bld,4.23,0.412596999,stnwg,3,m,f,3,petrol,105,122.0,white,s,0,weekday,12pm - 6pm,6,645.5677255057922,0.0,0,0,0.0,0.0
1408,2,1|bld,3.810000000000001,0.082115589,stnwg,1,f,d,6,dissel,202,124.0,silver,m,1,weekday,12pm - 6pm,12,649.2745405153278,0.0,0,0,0.0,0.0
1409,4,2|val,1.0697000000000008,0.526360003,stnwg,1,f,c,6,petrol,156,77.0,blue,s,0,weekday,6am - 12pm,12,655.6372938627179,0.0,0,0,0.0,0.0
1410,4,2|val,6.71,0.99933142633,stnwg,4,m,b,6,dissel,122,120.0,white,m,0,weekday,6am - 12pm,12,643.0460686607288,1.0,0,0,0.0,0.0
1411,2,1|bld,3.99,0.298642796,hdtop,2,f,e,5,petrol,290,122.0,gray,s,1,weekday,6am - 12pm,12,647.2184110214587,0.0,0,0,0.0,0.0
1412,1,1|bld,5.57,0.468235471,sedan,1,f,c,2,electric,74,123.0,silver,m,1,weekday,6am - 12pm,12,645.9675583880326,0.0,0,0,0.0,0.0
1413,4,2|val,5.91,0.10436464,suv,2,m,c,4,petrol,162,107.0,yellow,m,1,weekend,6am - 12pm,6,670.5343710369926,0.0,0,0,0.0,0.0
1414,1,1|bld,5.7700000000000005,0.026696275255,sedan,2,m,c,2,petrol,91,133.01000000000022,red,s,1,weekday,12pm - 6pm,6,644.4503847564929,0.0,0,0,0.0,0.0
1415,4,2|val,6.82,0.656357547,suv,4,m,b,3,petrol,105,122.0,gray,m,1,weekday,6am - 12pm,12,646.2773561023935,0.0,0,0,0.0,0.0
1416,3,1|bld,1.0697000000000008,0.158722944,stnwg,1,f,a,2,petrol,123,73.0,brown,m,1,weekday,12pm - 6pm,6,640.133220015389,0.0,0,0,0.0,0.0
1417,2,1|bld,1.34,0.257536418,stnwg,1,f,c,3,dissel,207,76.0,red,s,1,weekday,6am - 12pm,12,644.5522622190706,0.0,0,0,0.0,0.0
1418,4,2|val,5.75,0.2199863535,sedan,2,m,f,2,electric,119,116.0,black,m,1,weekday,12am - 6 am,6,641.8963270867914,0.0,0,0,0.0,0.0
1419,1,1|bld,4.5600000000000005,0.334349472,stnwg,3,f,c,4,petrol,131,133.01000000000022,gray,s,1,weekday,12pm - 6pm,12,642.7485664474783,0.0,0,0,0.0,0.0
1420,3,1|bld,4.630000000000001,0.419040998,hdtop,2,f,a,4,petrol,246,106.0,white,m,1,weekday,6pm - 12am,12,649.4601440514515,0.0,0,0,0.0,0.0
1421,1,1|bld,1.0697000000000008,0.1624829395,stnwg,1,f,d,3,petrol,135,68.0,white,s,0,weekday,6pm - 12am,6,638.7048537715164,0.0,0,0,0.0,0.0
1422,3,1|bld,4.220000000000001,0.989192833,ute,2,f,c,6,petrol,226,104.0,black,s,1,weekday,12pm - 6pm,12,674.3376757361357,1.0,0,0,0.0,0.0
1423,1,1|bld,1.9700000000000009,0.187067157,stnwg,2,f,c,5,petrol,145,74.0,gray,s,0,weekday,6am - 12pm,12,651.9668814091058,0.0,0,0,0.0,0.0
1424,3,1|bld,1.1400000000000006,0.589900608,stnwg,2,m,c,3,petrol,163,88.0,blue,m,1,weekday,12pm - 6pm,12,640.1644479420547,0.0,0,0,0.0,0.0
1425,1,1|bld,6.5200000000000005,0.494685085,suv,3,m,c,4,petrol,186,103.0,black,m,0,weekday,6am - 12pm,12,646.7852944732663,0.0,0,0,0.0,0.0
1426,4,2|val,2.8600000000000003,0.183663968,stnwg,2,f,f,2,petrol,158,93.0,red,m,1,weekday,12pm - 6pm,12,661.2557299747891,0.0,0,0,0.0,0.0
1427,4,2|val,1.0697000000000008,0.107742485,stnwg,1,m,a,5,petrol,135,78.0,white,m,1,weekday,6am - 12pm,6,675.1244913740627,0.0,0,0,0.0,0.0
1428,2,1|bld,5.75,0.0561440465,suv,2,m,c,1,petrol,109,108.0,gray,s,1,weekday,6pm - 12am,6,649.5558951844617,0.0,0,0,0.0,0.0
1429,1,1|bld,5.74,0.453557535,suv,2,m,d,6,hybrid,207,123.0,white,s,1,weekday,6am - 12pm,12,649.4759030316935,0.0,0,0,0.0,0.0
1430,2,1|bld,3.96,0.32725048,suv,1,m,a,4,petrol,152,104.0,blue,s,1,weekday,6am - 12pm,12,664.7574565569604,0.0,0,0,0.0,0.0
1431,4,2|val,4.67,0.473028178,suv,1,m,b,3,petrol,123,131.0,white,s,0,weekday,6am - 12pm,12,651.9563004762821,0.0,0,0,0.0,0.0
1432,4,2|val,5.8500000000000005,0.2389594965,suv,2,f,c,5,petrol,101,106.0,blue,s,1,weekend,6am - 12pm,6,652.5357560161882,0.0,0,0,0.0,0.0
1433,1,1|bld,1.75,0.3448516965,stnwg,1,m,d,5,dissel,201,55.0,white,s,1,weekday,6am - 12pm,6,643.7631556580587,0.0,0,0,0.0,0.0
1434,4,2|val,1.96,0.269121045,stnwg,1,f,b,3,petrol,208,70.0,silver,s,1,weekend,12pm - 6pm,12,643.5717004211556,0.0,0,0,0.0,0.0
1435,1,1|bld,5.37,0.464207382,stnwg,2,m,a,4,petrol,205,124.0,yellow,s,1,weekday,12pm - 6pm,12,644.224171891347,0.0,0,0,0.0,0.0
1436,1,1|bld,6.03,0.256718905,sedan,1,m,b,3,petrol,117,126.0,black,s,1,weekday,12pm - 6pm,12,640.5938038626176,0.0,0,0,0.0,0.0
1437,1,1|bld,6.430000000000001,0.026696275255,sedan,4,f,a,3,electric,83,105.0,white,s,0,weekday,6am - 12pm,6,654.8827517975719,0.0,0,0,0.0,0.0
1438,2,1|bld,5.720000000000001,0.3705383385,suv,3,m,c,5,petrol,105,111.0,gray,s,0,weekday,6am - 12pm,6,652.417696379474,0.0,0,0,0.0,0.0
1439,2,1|bld,1.92,0.0595268655,stnwg,1,f,c,3,petrol,150,105.0,black,s,0,weekday,12pm - 6pm,6,649.4187671715819,0.0,0,0,0.0,0.0
1440,3,1|bld,1.8200000000000005,0.2174205565,stnwg,1,m,f,3,petrol,114,72.0,gray,m,1,weekday,6pm - 12am,6,660.9925162693328,0.0,0,0,0.0,0.0
1441,2,1|bld,2.6000000000000005,0.316338058,stnwg,2,f,c,3,hybrid,162,107.0,white,s,1,weekday,6pm - 12am,12,649.4141318330612,0.0,0,0,0.0,0.0
1442,3,1|bld,3.46,0.106887057,truck,1,f,e,3,dissel,321,90.0,gray,s,1,weekday,12pm - 6pm,12,640.8368180417458,0.0,0,0,0.0,0.0
1443,1,1|bld,3.82,0.794857335,hdtop,2,f,d,2,petrol,300,111.0,gray,s,0,weekday,12pm - 6pm,12,644.8009290599707,0.0,0,0,0.0,0.0
1444,4,2|val,2.8000000000000007,0.141620115,ute,1,f,a,1,dissel,150,109.0,white,s,1,weekday,6am - 12pm,6,648.5182969126014,0.0,0,0,0.0,0.0
1445,4,2|val,4.16,0.2938770755,ute,1,f,a,4,dissel,228,111.0,blue,m,0,weekend,6pm - 12am,6,650.7951876000859,0.0,0,0,0.0,0.0
1446,3,1|bld,1.0697000000000008,0.988625577,convt,1,m,a,1,dissel,240,83.0,white,s,1,weekday,6pm - 12am,12,643.0652004622111,1.0,0,0,0.0,0.0
1447,3,1|bld,4.87,0.614028265,ute,2,m,f,4,petrol,263,116.0,blue,m,0,weekday,12pm - 6pm,12,651.3651386857682,0.0,0,0,0.0,0.0
1448,3,1|bld,1.6100000000000003,0.082327219,stnwg,1,m,f,4,petrol,165,98.0,blue,m,1,weekend,6pm - 12am,12,664.7937865644145,0.0,0,0,0.0,0.0
1449,4,2|val,1.1000000000000003,0.543626873,stnwg,1,f,c,1,petrol,181,86.0,black,m,0,weekday,6am - 12pm,12,646.8286959380506,0.0,0,0,0.0,0.0
1450,4,2|val,2.8200000000000003,0.586335025,stnwg,2,f,d,6,dissel,170,116.0,white,s,0,weekday,12pm - 6pm,12,638.59346125691,0.0,0,0,0.0,0.0
1451,3,1|bld,2.0500000000000007,0.551951924,stnwg,2,m,d,5,petrol,102,64.0,white,s,1,weekday,12pm - 6pm,12,641.3857413875958,0.0,0,0,0.0,0.0
1452,2,1|bld,2.78,0.400567575,stnwg,1,m,e,3,dissel,183,104.0,silver,s,1,weekday,12pm - 6pm,12,641.4285923398743,0.0,0,0,0.0,0.0
1453,4,2|val,1.4000000000000004,0.230888502,stnwg,2,f,e,3,petrol,204,69.0,silver,m,1,weekday,6am - 12pm,6,642.6451026002048,0.0,0,0,0.0,0.0
1454,2,1|bld,7.2,0.221711771,sedan,4,m,e,3,electric,87,110.0,white,s,1,weekend,12pm - 6pm,12,659.3568407869702,0.0,0,0,0.0,0.0
1455,4,2|val,5.79,0.077109703,suv,2,f,c,3,electric,110,109.0,gray,s,1,weekday,6pm - 12am,12,644.2009566572677,0.0,0,0,0.0,0.0
1456,4,2|val,1.54,0.3783928105,stnwg,1,m,f,3,hybrid,203,76.0,red,s,1,weekday,6am - 12pm,6,633.9840188883015,0.0,0,0,0.0,0.0
1457,3,1|bld,6.2700000000000005,0.202803023,sedan,1,m,c,4,petrol,77,118.0,black,m,1,weekday,6am - 12pm,12,644.836203804218,0.0,0,0,0.0,0.0
1458,2,1|bld,6.69,0.55773725,sedan,3,m,c,4,hybrid,120,107.0,gray,s,0,weekday,12am - 6 am,12,640.9736027786803,0.0,0,0,0.0,0.0
